question_number,response_category,demographic_parameter,subgroup,responders_n,base_sub_total,freq
T5,Every day,Energy Hub Area,No/Not Applicable,69,2305,3
T5,Every day,Flood Risk Area,Yes/Applicable,29,920,3
T5,Every day,Flood Risk Area,No/Not Applicable,55,1898,3
T5,Every day,Education,No Formal Qualifications,4,247,2
T5,Every day,Education,Other Qualifications,31,1265,2
T5,Every day,Education,Degree or Higher Qualifications,47,1056,4
T5,Every day,Education,Non-graduate,35,1512,2
T5,Every day,Working Status,Employed (FT or PT),52,1717,3
T5,Every day,Working Status,Unemployed,14,528,3
T5,Every day,Working Status,Retired,15,456,3
T5,Every day,Income,"Less than £26,000",35,746,5
T5,Every day,Income,"From £26,000 to less than £52,000",17,759,2
T5,Every day,Income,"Less than £52,000",52,1505,3
T5,Every day,Income,"£52,000 and above",13,692,2
T5,Several times a week,Overall Population,Overall Population,404,2818,14.000000000000002
T5,Several times a week,Biological Sex,Men,206,1364,15
T5,Several times a week,Biological Sex,Women,191,1397,14.000000000000002
T5,Several times a week,Age,From 16 to 34,146,906,16
T5,Several times a week,Age,From 35 to 54,136,982,14.000000000000002
T5,Several times a week,Age,From 55 to 69,74,604,12
T5,Several times a week,Age,70 and above,40,272,15
T5,Several times a week,Age,35 and above,250,1858,13
T5,Several times a week,Age,Under 55,283,1888,15
T5,Several times a week,Area Type (Population Density),Urban (All),322,2308,14.000000000000002
T5,Several times a week,Area Type (Population Density),Rural (All),82,510,16
T5,Several times a week,Area Type (Population Density),Urban (Large),184,1110,17
T5,Several times a week,Area Type (Population Density),Urban (Other),102,884,12
T5,Several times a week,Area Type (Population Density),Small Towns (Accessible),26,224,12
T5,Several times a week,Area Type (Population Density),Small Towns (Remote),10,90,11
T5,Several times a week,Area Type (Population Density),Rural (Accessible),52,343,15
T5,Several times a week,Area Type (Population Density),Rural (Remote),30,167,18
T5,Several times a week,Energy Hub Area,Yes/Applicable,70,513,14.000000000000002
T5,Several times a week,Energy Hub Area,No/Not Applicable,334,2305,14.000000000000002
T5,Several times a week,Flood Risk Area,Yes/Applicable,121,920,13
T5,Several times a week,Flood Risk Area,No/Not Applicable,283,1898,15
T5,Several times a week,Education,No Formal Qualifications,31,247,13
T5,Several times a week,Education,Other Qualifications,161,1265,13
T5,Several times a week,Education,Degree or Higher Qualifications,188,1056,18
T5,Several times a week,Education,Non-graduate,193,1512,13
T5,Several times a week,Working Status,Employed (FT or PT),253,1717,15
T5,Several times a week,Working Status,Unemployed,73,528,14.000000000000002
T5,Several times a week,Working Status,Retired,65,456,14.000000000000002
T5,Several times a week,Income,"Less than £26,000",103,746,14.000000000000002
T5,Several times a week,Income,"From £26,000 to less than £52,000",117,759,15
T5,Several times a week,Income,"Less than £52,000",220,1505,15
T5,Several times a week,Income,"£52,000 and above",125,692,18
T5,Once or twice a week,Overall Population,Overall Population,612,2818,22
T5,Once or twice a week,Biological Sex,Men,298,1364,22
T5,Once or twice a week,Biological Sex,Women,305,1397,22
T5,Once or twice a week,Age,From 16 to 34,226,906,25
T5,Once or twice a week,Age,From 35 to 54,183,982,19
T5,Once or twice a week,Age,From 55 to 69,122,604,20
T5,Once or twice a week,Age,70 and above,72,272,26
T5,Once or twice a week,Age,35 and above,377,1858,20
T5,Once or twice a week,Age,Under 55,409,1888,22
T5,Once or twice a week,Area Type (Population Density),Urban (All),486,2308,21
T5,Once or twice a week,Area Type (Population Density),Rural (All),127,510,25
T5,Once or twice a week,Area Type (Population Density),Urban (Large),239,1110,22
T5,Once or twice a week,Area Type (Population Density),Urban (Other),189,884,21
T5,Once or twice a week,Area Type (Population Density),Small Towns (Accessible),38,224,17
T5,Once or twice a week,Area Type (Population Density),Small Towns (Remote),19,90,21
T5,Once or twice a week,Area Type (Population Density),Rural (Accessible),83,343,24
T5,Once or twice a week,Area Type (Population Density),Rural (Remote),44,167,26
T5,Once or twice a week,Energy Hub Area,Yes/Applicable,109,513,21
T5,Once or twice a week,Energy Hub Area,No/Not Applicable,504,2305,22
T5,Once or twice a week,Flood Risk Area,Yes/Applicable,183,920,20
T5,Once or twice a week,Flood Risk Area,No/Not Applicable,429,1898,23
T5,Once or twice a week,Education,No Formal Qualifications,43,247,17
T5,Once or twice a week,Education,Other Qualifications,243,1265,19
T5,Once or twice a week,Education,Degree or Higher Qualifications,267,1056,25
T5,Once or twice a week,Education,Non-graduate,287,1512,19
T5,Once or twice a week,Working Status,Employed (FT or PT),375,1717,22
T5,Once or twice a week,Working Status,Unemployed,108,528,20
T5,Once or twice a week,Working Status,Retired,102,456,22
T5,Once or twice a week,Income,"Less than £26,000",156,746,21
T5,Once or twice a week,Income,"From £26,000 to less than £52,000",191,759,25
T5,Once or twice a week,Income,"Less than £52,000",347,1505,23
T5,Once or twice a week,Income,"£52,000 and above",161,692,23
T5,Once or twice in the last month,Overall Population,Overall Population,1023,2818,36
T5,Once or twice in the last month,Biological Sex,Men,469,1364,34
T5,Once or twice in the last month,Biological Sex,Women,534,1397,38
T5,Once or twice in the last month,Age,From 16 to 34,307,906,34
T5,Once or twice in the last month,Age,From 35 to 54,373,982,38
T5,Once or twice in the last month,Age,From 55 to 69,231,604,38
T5,Once or twice in the last month,Age,70 and above,96,272,35
T5,Once or twice in the last month,Age,35 and above,700,1858,38
T5,Once or twice in the last month,Age,Under 55,680,1888,36
T5,Once or twice in the last month,Area Type (Population Density),Urban (All),848,2308,37
T5,Once or twice in the last month,Area Type (Population Density),Rural (All),176,510,35
T5,Once or twice in the last month,Area Type (Population Density),Urban (Large),412,1110,37
T5,Once or twice in the last month,Area Type (Population Density),Urban (Other),315,884,36
T5,Once or twice in the last month,Area Type (Population Density),Small Towns (Accessible),86,224,38
T5,Once or twice in the last month,Area Type (Population Density),Small Towns (Remote),34,90,38
T5,Once or twice in the last month,Area Type (Population Density),Rural (Accessible),119,343,35
T5,Once or twice in the last month,Area Type (Population Density),Rural (Remote),56,167,34
T5,Once or twice in the last month,Energy Hub Area,Yes/Applicable,190,513,37
T5,Once or twice in the last month,Energy Hub Area,No/Not Applicable,833,2305,36
T5,Once or twice in the last month,Flood Risk Area,Yes/Applicable,336,920,37
T5,Once or twice in the last month,Flood Risk Area,No/Not Applicable,687,1898,36
T5,Once or twice in the last month,Education,No Formal Qualifications,74,247,30
T5,Once or twice in the last month,Education,Other Qualifications,454,1265,36
T5,Once or twice in the last month,Education,Degree or Higher Qualifications,410,1056,39
T5,Once or twice in the last month,Education,Non-graduate,528,1512,35
T5,Once or twice in the last month,Working Status,Employed (FT or PT),636,1717,37
T5,Once or twice in the last month,Working Status,Unemployed,179,528,34
T5,Once or twice in the last month,Working Status,Retired,171,456,38
T5,Once or twice in the last month,Income,"Less than £26,000",245,746,33
T5,Once or twice in the last month,Income,"From £26,000 to less than £52,000",264,759,35
T5,Once or twice in the last month,Income,"Less than £52,000",510,1505,34
T5,Once or twice in the last month,Income,"£52,000 and above",267,692,39
T5,Not at all,Overall Population,Overall Population,629,2818,22
T5,Not at all,Biological Sex,Men,338,1364,25
T5,Not at all,Biological Sex,Women,279,1397,20
T5,Not at all,Age,From 16 to 34,181,906,20
T5,Not at all,Age,From 35 to 54,232,982,24
T5,Not at all,Age,From 55 to 69,154,604,25
T5,Not at all,Age,70 and above,50,272,18
T5,Not at all,Age,35 and above,435,1858,23
T5,Not at all,Age,Under 55,412,1888,22
T5,Not at all,Area Type (Population Density),Urban (All),528,2308,23
T5,Not at all,Area Type (Population Density),Rural (All),101,510,20
T5,Not at all,Area Type (Population Density),Urban (Large),214,1110,19
T5,Not at all,Area Type (Population Density),Urban (Other),228,884,26
T5,Not at all,Area Type (Population Density),Small Towns (Accessible),64,224,28.999999999999996
T5,Not at all,Area Type (Population Density),Small Towns (Remote),23,90,26
T5,Not at all,Area Type (Population Density),Rural (Accessible),72,343,21
T5,Not at all,Area Type (Population Density),Rural (Remote),29,167,17
T5,Not at all,Energy Hub Area,Yes/Applicable,119,513,23
T5,Not at all,Energy Hub Area,No/Not Applicable,510,2305,22
T5,Not at all,Flood Risk Area,Yes/Applicable,227,920,25
T5,Not at all,Flood Risk Area,No/Not Applicable,402,1898,21
T5,Not at all,Education,No Formal Qualifications,86,247,35
T5,Not at all,Education,Other Qualifications,338,1265,27
T5,Not at all,Education,Degree or Higher Qualifications,137,1056,13
T5,Not at all,Education,Non-graduate,423,1512,28.000000000000004
T5,Not at all,Working Status,Employed (FT or PT),372,1717,22
T5,Not at all,Working Status,Unemployed,135,528,26
T5,Not at all,Working Status,Retired,93,456,20
T5,Not at all,Income,"Less than £26,000",185,746,25
T5,Not at all,Income,"From £26,000 to less than £52,000",166,759,22
T5,Not at all,Income,"Less than £52,000",352,1505,23
T5,Not at all,Income,"£52,000 and above",120,692,17
T5,Don't know,Overall Population,Overall Population,54,2818,2
T5,Don't know,Biological Sex,Men,15,1364,1
T5,Don't know,Biological Sex,Women,39,1397,3
T5,Don't know,Age,From 16 to 34,18,906,2
T5,Don't know,Age,From 35 to 54,18,982,2
T5,Don't know,Age,From 55 to 69,8,604,1
T5,Don't know,Age,70 and above,8,272,3
T5,Don't know,Age,35 and above,34,1858,2
T5,Don't know,Age,Under 55,37,1888,2
T5,Don't know,Area Type (Population Density),Urban (All),47,2308,2
T5,Don't know,Area Type (Population Density),Rural (All),6,510,1
T5,Don't know,Area Type (Population Density),Urban (Large),17,1110,2
T5,Don't know,Area Type (Population Density),Urban (Other),26,884,3
T5,Don't know,Area Type (Population Density),Small Towns (Accessible),3,224,1
T5,Don't know,Area Type (Population Density),Small Towns (Remote),1,90,1
T5,Don't know,Area Type (Population Density),Rural (Accessible),4,343,1
T5,Don't know,Area Type (Population Density),Rural (Remote),2,167,1
T5,Don't know,Energy Hub Area,Yes/Applicable,5,513,1
T5,Don't know,Energy Hub Area,No/Not Applicable,49,2305,2
T5,Don't know,Flood Risk Area,Yes/Applicable,19,920,2
T5,Don't know,Flood Risk Area,No/Not Applicable,35,1898,2
T5,Don't know,Education,No Formal Qualifications,4,247,2
T5,Don't know,Education,Other Qualifications,36,1265,3
T5,Don't know,Education,Degree or Higher Qualifications,6,1056,1
T5,Don't know,Education,Non-graduate,40,1512,3
T5,Don't know,Working Status,Employed (FT or PT),22,1717,1
T5,Don't know,Working Status,Unemployed,19,528,4
T5,Don't know,Working Status,Retired,10,456,2
T5,Don't know,Income,"Less than £26,000",20,746,3
T5,Don't know,Income,"From £26,000 to less than £52,000",4,759,1
T5,Don't know,Income,"Less than £52,000",24,1505,2
T5,Don't know,Income,"£52,000 and above",6,692,1
T5,Prefer not to say,Overall Population,Overall Population,12,2818,0
T5,Prefer not to say,Biological Sex,Men,2,1364,0
T5,Prefer not to say,Biological Sex,Women,5,1397,0
T5,Prefer not to say,Age,From 16 to 34,7,906,1
T5,Prefer not to say,Age,From 35 to 54,2,982,0
T5,Prefer not to say,Age,From 55 to 69,NA,604,NA
T5,Prefer not to say,Age,70 and above,NA,272,NA
T5,Prefer not to say,Age,35 and above,2,1858,0
T5,Prefer not to say,Age,Under 55,8,1888,0
T5,Prefer not to say,Area Type (Population Density),Urban (All),9,2308,0
T5,Prefer not to say,Area Type (Population Density),Rural (All),3,510,1
T5,Prefer not to say,Area Type (Population Density),Urban (Large),4,1110,0
T5,Prefer not to say,Area Type (Population Density),Urban (Other),4,884,0
T5,Prefer not to say,Area Type (Population Density),Small Towns (Accessible),1,224,0
T5,Prefer not to say,Area Type (Population Density),Small Towns (Remote),NA,90,NA
T5,Prefer not to say,Area Type (Population Density),Rural (Accessible),1,343,0
T5,Prefer not to say,Area Type (Population Density),Rural (Remote),1,167,1
T5,Prefer not to say,Energy Hub Area,Yes/Applicable,5,513,1
T5,Prefer not to say,Energy Hub Area,No/Not Applicable,6,2305,0
T5,Prefer not to say,Flood Risk Area,Yes/Applicable,4,920,0
T5,Prefer not to say,Flood Risk Area,No/Not Applicable,8,1898,0
T5,Prefer not to say,Education,No Formal Qualifications,4,247,2
T5,Prefer not to say,Education,Other Qualifications,1,1265,0
T5,Prefer not to say,Education,Degree or Higher Qualifications,2,1056,0
T5,Prefer not to say,Education,Non-graduate,5,1512,0
T5,Prefer not to say,Working Status,Employed (FT or PT),7,1717,0
T5,Prefer not to say,Working Status,Unemployed,NA,528,NA
T5,Prefer not to say,Working Status,Retired,NA,456,NA
T5,Prefer not to say,Income,"Less than £26,000",1,746,0
T5,Prefer not to say,Income,"From £26,000 to less than £52,000",NA,759,NA
T5,Prefer not to say,Income,"Less than £52,000",1,1505,0
T5,Prefer not to say,Income,"£52,000 and above",NA,692,NA
T7,"Universities, research organisations or scientists",Overall Population,Overall Population,3014,4076,74
T7,"Universities, research organisations or scientists",Biological Sex,Men,1398,1878,74
T7,"Universities, research organisations or scientists",Biological Sex,Women,1549,2083,74
T7,"Universities, research organisations or scientists",Age,From 16 to 34,791,1020,78
T7,"Universities, research organisations or scientists",Age,From 35 to 54,909,1231,74
T7,"Universities, research organisations or scientists",Age,From 55 to 69,724,991,73
T7,"Universities, research organisations or scientists",Age,70 and above,516,710,73
T7,"Universities, research organisations or scientists",Age,35 and above,2150,2931,73
T7,"Universities, research organisations or scientists",Age,Under 55,1700,2251,76
T7,"Universities, research organisations or scientists",Area Type (Population Density),Urban (All),2458,3343,74
T7,"Universities, research organisations or scientists",Area Type (Population Density),Rural (All),556,733,76
T7,"Universities, research organisations or scientists",Area Type (Population Density),Urban (Large),1169,1525,77
T7,"Universities, research organisations or scientists",Area Type (Population Density),Urban (Other),950,1338,71
T7,"Universities, research organisations or scientists",Area Type (Population Density),Small Towns (Accessible),253,357,71
T7,"Universities, research organisations or scientists",Area Type (Population Density),Small Towns (Remote),85,123,69
T7,"Universities, research organisations or scientists",Area Type (Population Density),Rural (Accessible),373,494,76
T7,"Universities, research organisations or scientists",Area Type (Population Density),Rural (Remote),183,239,77
T7,"Universities, research organisations or scientists",Energy Hub Area,Yes/Applicable,564,759,74
T7,"Universities, research organisations or scientists",Energy Hub Area,No/Not Applicable,2450,3317,74
T7,"Universities, research organisations or scientists",Flood Risk Area,Yes/Applicable,959,1313,73
T7,"Universities, research organisations or scientists",Flood Risk Area,No/Not Applicable,2055,2763,74
T7,"Universities, research organisations or scientists",Education,No Formal Qualifications,343,579,59
T7,"Universities, research organisations or scientists",Education,Other Qualifications,1275,1758,73
T7,"Universities, research organisations or scientists",Education,Degree or Higher Qualifications,1121,1332,84
T7,"Universities, research organisations or scientists",Education,Non-graduate,1618,2337,69
T7,"Universities, research organisations or scientists",Working Status,Employed (FT or PT),1717,2232,77
T7,"Universities, research organisations or scientists",Working Status,Unemployed,464,687,68
T7,"Universities, research organisations or scientists",Working Status,Retired,735,991,74
T7,"Universities, research organisations or scientists",Income,"Less than £26,000",786,1192,66
T7,"Universities, research organisations or scientists",Income,"From £26,000 to less than £52,000",768,973,79
T7,"Universities, research organisations or scientists",Income,"Less than £52,000",1554,2164,72
T7,"Universities, research organisations or scientists",Income,"£52,000 and above",753,859,88
T7,The Scottish Government,Overall Population,Overall Population,1596,4076,39
T7,The Scottish Government,Biological Sex,Men,728,1878,39
T7,The Scottish Government,Biological Sex,Women,842,2083,40
T7,The Scottish Government,Age,From 16 to 34,545,1020,53
T7,The Scottish Government,Age,From 35 to 54,466,1231,38
T7,The Scottish Government,Age,From 55 to 69,367,991,37
T7,The Scottish Government,Age,70 and above,182,710,26
T7,The Scottish Government,Age,35 and above,1015,2931,35
T7,The Scottish Government,Age,Under 55,1012,2251,45
T7,The Scottish Government,Area Type (Population Density),Urban (All),1344,3343,40
T7,The Scottish Government,Area Type (Population Density),Rural (All),252,733,34
T7,The Scottish Government,Area Type (Population Density),Urban (Large),684,1525,45
T7,The Scottish Government,Area Type (Population Density),Urban (Other),504,1338,38
T7,The Scottish Government,Area Type (Population Density),Small Towns (Accessible),118,357,33
T7,The Scottish Government,Area Type (Population Density),Small Towns (Remote),39,123,32
T7,The Scottish Government,Area Type (Population Density),Rural (Accessible),180,494,36
T7,The Scottish Government,Area Type (Population Density),Rural (Remote),72,239,30
T7,The Scottish Government,Energy Hub Area,Yes/Applicable,242,759,32
T7,The Scottish Government,Energy Hub Area,No/Not Applicable,1354,3317,41
T7,The Scottish Government,Flood Risk Area,Yes/Applicable,497,1313,38
T7,The Scottish Government,Flood Risk Area,No/Not Applicable,1099,2763,40
T7,The Scottish Government,Education,No Formal Qualifications,180,579,31
T7,The Scottish Government,Education,Other Qualifications,656,1758,37
T7,The Scottish Government,Education,Degree or Higher Qualifications,623,1332,47
T7,The Scottish Government,Education,Non-graduate,836,2337,36
T7,The Scottish Government,Working Status,Employed (FT or PT),927,2232,42
T7,The Scottish Government,Working Status,Unemployed,321,687,47
T7,The Scottish Government,Working Status,Retired,283,991,28.999999999999996
T7,The Scottish Government,Income,"Less than £26,000",437,1192,37
T7,The Scottish Government,Income,"From £26,000 to less than £52,000",396,973,41
T7,The Scottish Government,Income,"Less than £52,000",833,2164,38
T7,The Scottish Government,Income,"£52,000 and above",433,859,50
T7,Major national charities or third sector organisations,Overall Population,Overall Population,1304,4076,32
T7,Major national charities or third sector organisations,Biological Sex,Men,535,1878,28.000000000000004
T7,Major national charities or third sector organisations,Biological Sex,Women,739,2083,35
T7,Major national charities or third sector organisations,Age,From 16 to 34,481,1020,47
T7,Major national charities or third sector organisations,Age,From 35 to 54,410,1231,33
T7,Major national charities or third sector organisations,Age,From 55 to 69,253,991,26
T7,Major national charities or third sector organisations,Age,70 and above,131,710,18
T7,Major national charities or third sector organisations,Age,35 and above,794,2931,27
T7,Major national charities or third sector organisations,Age,Under 55,891,2251,40
T7,Major national charities or third sector organisations,Area Type (Population Density),Urban (All),1098,3343,33
T7,Major national charities or third sector organisations,Area Type (Population Density),Rural (All),206,733,28.000000000000004
T7,Major national charities or third sector organisations,Area Type (Population Density),Urban (Large),562,1525,37
T7,Major national charities or third sector organisations,Area Type (Population Density),Urban (Other),404,1338,30
T7,Major national charities or third sector organisations,Area Type (Population Density),Small Towns (Accessible),95,357,27
T7,Major national charities or third sector organisations,Area Type (Population Density),Small Towns (Remote),37,123,30
T7,Major national charities or third sector organisations,Area Type (Population Density),Rural (Accessible),134,494,27
T7,Major national charities or third sector organisations,Area Type (Population Density),Rural (Remote),72,239,30
T7,Major national charities or third sector organisations,Energy Hub Area,Yes/Applicable,216,759,28.000000000000004
T7,Major national charities or third sector organisations,Energy Hub Area,No/Not Applicable,1088,3317,33
T7,Major national charities or third sector organisations,Flood Risk Area,Yes/Applicable,384,1313,28.999999999999996
T7,Major national charities or third sector organisations,Flood Risk Area,No/Not Applicable,919,2763,33
T7,Major national charities or third sector organisations,Education,No Formal Qualifications,67,579,12
T7,Major national charities or third sector organisations,Education,Other Qualifications,497,1758,28.000000000000004
T7,Major national charities or third sector organisations,Education,Degree or Higher Qualifications,639,1332,48
T7,Major national charities or third sector organisations,Education,Non-graduate,564,2337,24
T7,Major national charities or third sector organisations,Working Status,Employed (FT or PT),807,2232,36
T7,Major national charities or third sector organisations,Working Status,Unemployed,248,687,36
T7,Major national charities or third sector organisations,Working Status,Retired,199,991,20
T7,Major national charities or third sector organisations,Income,"Less than £26,000",322,1192,27
T7,Major national charities or third sector organisations,Income,"From £26,000 to less than £52,000",356,973,37
T7,Major national charities or third sector organisations,Income,"Less than £52,000",678,2164,31
T7,Major national charities or third sector organisations,Income,"£52,000 and above",389,859,45
T7,The UK Government,Overall Population,Overall Population,1253,4076,31
T7,The UK Government,Biological Sex,Men,601,1878,32
T7,The UK Government,Biological Sex,Women,636,2083,31
T7,The UK Government,Age,From 16 to 34,391,1020,38
T7,The UK Government,Age,From 35 to 54,395,1231,32
T7,The UK Government,Age,From 55 to 69,282,991,28.000000000000004
T7,The UK Government,Age,70 and above,160,710,23
T7,The UK Government,Age,35 and above,837,2931,28.999999999999996
T7,The UK Government,Age,Under 55,786,2251,35
T7,The UK Government,Area Type (Population Density),Urban (All),1053,3343,31
T7,The UK Government,Area Type (Population Density),Rural (All),201,733,27
T7,The UK Government,Area Type (Population Density),Urban (Large),554,1525,36
T7,The UK Government,Area Type (Population Density),Urban (Other),367,1338,27
T7,The UK Government,Area Type (Population Density),Small Towns (Accessible),100,357,28.000000000000004
T7,The UK Government,Area Type (Population Density),Small Towns (Remote),31,123,25
T7,The UK Government,Area Type (Population Density),Rural (Accessible),147,494,30
T7,The UK Government,Area Type (Population Density),Rural (Remote),54,239,23
T7,The UK Government,Energy Hub Area,Yes/Applicable,190,759,25
T7,The UK Government,Energy Hub Area,No/Not Applicable,1063,3317,32
T7,The UK Government,Flood Risk Area,Yes/Applicable,417,1313,32
T7,The UK Government,Flood Risk Area,No/Not Applicable,837,2763,30
T7,The UK Government,Education,No Formal Qualifications,120,579,21
T7,The UK Government,Education,Other Qualifications,504,1758,28.999999999999996
T7,The UK Government,Education,Degree or Higher Qualifications,530,1332,40
T7,The UK Government,Education,Non-graduate,624,2337,27
T7,The UK Government,Working Status,Employed (FT or PT),740,2232,33
T7,The UK Government,Working Status,Unemployed,249,687,36
T7,The UK Government,Working Status,Retired,229,991,23
T7,The UK Government,Income,"Less than £26,000",290,1192,24
T7,The UK Government,Income,"From £26,000 to less than £52,000",302,973,31
T7,The UK Government,Income,"Less than £52,000",593,2164,27
T7,The UK Government,Income,"£52,000 and above",384,859,45
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Overall Population,Overall Population,1029,4076,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Biological Sex,Men,438,1878,23
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Biological Sex,Women,567,2083,27
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Age,From 16 to 34,273,1020,27
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Age,From 35 to 54,287,1231,23
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Age,From 55 to 69,249,991,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Age,70 and above,190,710,27
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Age,35 and above,725,2931,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Age,Under 55,559,2251,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Urban (All),870,3343,26
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Rural (All),159,733,22
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Urban (Large),429,1525,28.000000000000004
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Urban (Other),333,1338,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Small Towns (Accessible),84,357,24
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Small Towns (Remote),25,123,20
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Rural (Accessible),106,494,21
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Area Type (Population Density),Rural (Remote),52,239,22
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Energy Hub Area,Yes/Applicable,170,759,22
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Energy Hub Area,No/Not Applicable,859,3317,26
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Flood Risk Area,Yes/Applicable,325,1313,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Flood Risk Area,No/Not Applicable,704,2763,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Education,No Formal Qualifications,142,579,25
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Education,Other Qualifications,406,1758,23
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Education,Degree or Higher Qualifications,394,1332,30
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Education,Non-graduate,548,2337,23
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Working Status,Employed (FT or PT),521,2232,23
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Working Status,Unemployed,198,687,28.999999999999996
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Working Status,Retired,270,991,27
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Income,"Less than £26,000",307,1192,26
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Income,"From £26,000 to less than £52,000",253,973,26
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Income,"Less than £52,000",560,2164,26
T7,"News media (e.g. TV news, radio, newspapers, magazines and news websites)",Income,"£52,000 and above",227,859,26
T7,Your local authority / council,Overall Population,Overall Population,692,4076,17
T7,Your local authority / council,Biological Sex,Men,309,1878,16
T7,Your local authority / council,Biological Sex,Women,372,2083,18
T7,Your local authority / council,Age,From 16 to 34,271,1020,27
T7,Your local authority / council,Age,From 35 to 54,210,1231,17
T7,Your local authority / council,Age,From 55 to 69,143,991,14.000000000000002
T7,Your local authority / council,Age,70 and above,59,710,8
T7,Your local authority / council,Age,35 and above,412,2931,14.000000000000002
T7,Your local authority / council,Age,Under 55,481,2251,21
T7,Your local authority / council,Area Type (Population Density),Urban (All),585,3343,17
T7,Your local authority / council,Area Type (Population Density),Rural (All),107,733,15
T7,Your local authority / council,Area Type (Population Density),Urban (Large),302,1525,20
T7,Your local authority / council,Area Type (Population Density),Urban (Other),201,1338,15
T7,Your local authority / council,Area Type (Population Density),Small Towns (Accessible),60,357,17
T7,Your local authority / council,Area Type (Population Density),Small Towns (Remote),22,123,18
T7,Your local authority / council,Area Type (Population Density),Rural (Accessible),70,494,14.000000000000002
T7,Your local authority / council,Area Type (Population Density),Rural (Remote),38,239,16
T7,Your local authority / council,Energy Hub Area,Yes/Applicable,106,759,14.000000000000002
T7,Your local authority / council,Energy Hub Area,No/Not Applicable,586,3317,18
T7,Your local authority / council,Flood Risk Area,Yes/Applicable,225,1313,17
T7,Your local authority / council,Flood Risk Area,No/Not Applicable,467,2763,17
T7,Your local authority / council,Education,No Formal Qualifications,53,579,9
T7,Your local authority / council,Education,Other Qualifications,284,1758,16
T7,Your local authority / council,Education,Degree or Higher Qualifications,302,1332,23
T7,Your local authority / council,Education,Non-graduate,338,2337,14.000000000000002
T7,Your local authority / council,Working Status,Employed (FT or PT),425,2232,19
T7,Your local authority / council,Working Status,Unemployed,147,687,21
T7,Your local authority / council,Working Status,Retired,89,991,9
T7,Your local authority / council,Income,"Less than £26,000",181,1192,15
T7,Your local authority / council,Income,"From £26,000 to less than £52,000",171,973,18
T7,Your local authority / council,Income,"Less than £52,000",351,2164,16
T7,Your local authority / council,Income,"£52,000 and above",211,859,25
T7,"Your friends, family or work colleagues",Overall Population,Overall Population,411,4076,10
T7,"Your friends, family or work colleagues",Biological Sex,Men,159,1878,8
T7,"Your friends, family or work colleagues",Biological Sex,Women,242,2083,12
T7,"Your friends, family or work colleagues",Age,From 16 to 34,141,1020,14.000000000000002
T7,"Your friends, family or work colleagues",Age,From 35 to 54,136,1231,11
T7,"Your friends, family or work colleagues",Age,From 55 to 69,83,991,8
T7,"Your friends, family or work colleagues",Age,70 and above,41,710,6
T7,"Your friends, family or work colleagues",Age,35 and above,260,2931,9
T7,"Your friends, family or work colleagues",Age,Under 55,277,2251,12
T7,"Your friends, family or work colleagues",Area Type (Population Density),Urban (All),351,3343,10
T7,"Your friends, family or work colleagues",Area Type (Population Density),Rural (All),60,733,8
T7,"Your friends, family or work colleagues",Area Type (Population Density),Urban (Large),185,1525,12
T7,"Your friends, family or work colleagues",Area Type (Population Density),Urban (Other),123,1338,9
T7,"Your friends, family or work colleagues",Area Type (Population Density),Small Towns (Accessible),31,357,9
